,weak_acc,strong_acc,transfer_acc_xent,transfer_acc_logconf,weak_params,weak_step_size,strong_params,strong_step_size
258,0.585,0.63,0.595,0.54,1.0,1000,0.16,61000
259,0.585,0.63,0.6,0.55,1.0,1000,0.16,91000
260,0.585,0.64,0.59,0.535,1.0,1000,1.0,1000
261,0.585,0.57,0.575,0.545,1.0,1000,1.0,121000
262,0.585,0.655,0.58,0.54,1.0,1000,1.0,31000
263,0.585,0.665,0.575,0.54,1.0,1000,1.0,61000
264,0.585,0.63,0.59,0.56,1.0,1000,1.0,91000
265,0.585,0.64,0.565,0.55,1.0,1000,2.8,1000
266,0.585,0.57,0.575,0.525,1.0,1000,2.8,121000
267,0.585,0.635,0.57,0.56,1.0,1000,2.8,31000
268,0.585,0.635,0.59,0.56,1.0,1000,2.8,61000
269,0.585,0.635,0.575,0.56,1.0,1000,2.8,91000
270,0.585,0.565,0.57,0.51,1.0,1000,0.41,1000
271,0.585,0.58,0.56,0.54,1.0,1000,0.41,121000
272,0.585,0.66,0.585,0.605,1.0,1000,0.41,31000
273,0.585,0.735,0.58,0.57,1.0,1000,0.41,61000
274,0.585,0.715,0.575,0.5,1.0,1000,0.41,91000
275,0.605,0.635,0.615,0.62,1.0,121000,1.4,1000
276,0.605,0.635,0.63,0.605,1.0,121000,1.4,121000
277,0.605,0.605,0.63,0.61,1.0,121000,1.4,31000
278,0.605,0.635,0.64,0.6,1.0,121000,1.4,61000
279,0.605,0.57,0.635,0.61,1.0,121000,1.4,91000
280,0.605,0.65,0.625,0.61,1.0,121000,0.16,1000
281,0.605,0.635,0.625,0.605,1.0,121000,0.16,121000
282,0.605,0.675,0.63,0.615,1.0,121000,0.16,31000
283,0.605,0.63,0.63,0.59,1.0,121000,0.16,61000
284,0.605,0.63,0.64,0.62,1.0,121000,0.16,91000
285,0.605,0.64,0.635,0.565,1.0,121000,1.0,1000
286,0.605,0.57,0.63,0.59,1.0,121000,1.0,121000
287,0.605,0.655,0.635,0.65,1.0,121000,1.0,31000
288,0.605,0.665,0.625,0.585,1.0,121000,1.0,61000
289,0.605,0.63,0.62,0.575,1.0,121000,1.0,91000
290,0.605,0.64,0.615,0.605,1.0,121000,2.8,1000
291,0.605,0.57,0.62,0.59,1.0,121000,2.8,121000
292,0.605,0.635,0.645,0.625,1.0,121000,2.8,31000
293,0.605,0.635,0.635,0.605,1.0,121000,2.8,61000
294,0.605,0.635,0.625,0.62,1.0,121000,2.8,91000
295,0.605,0.565,0.62,0.6,1.0,121000,0.41,1000
296,0.605,0.58,0.62,0.605,1.0,121000,0.41,121000
297,0.605,0.66,0.625,0.57,1.0,121000,0.41,31000
298,0.605,0.735,0.615,0.61,1.0,121000,0.41,61000
299,0.605,0.715,0.63,0.64,1.0,121000,0.41,91000
300,0.685,0.635,0.645,0.6,1.0,31000,1.4,1000
301,0.685,0.635,0.66,0.625,1.0,31000,1.4,121000
302,0.685,0.605,0.675,0.645,1.0,31000,1.4,31000
303,0.685,0.635,0.675,0.66,1.0,31000,1.4,61000
304,0.685,0.57,0.685,0.625,1.0,31000,1.4,91000
305,0.685,0.65,0.665,0.65,1.0,31000,0.16,1000
306,0.685,0.635,0.66,0.645,1.0,31000,0.16,121000
307,0.685,0.675,0.69,0.66,1.0,31000,0.16,31000
308,0.685,0.63,0.69,0.685,1.0,31000,0.16,61000
309,0.685,0.63,0.705,0.605,1.0,31000,0.16,91000
310,0.685,0.64,0.64,0.59,1.0,31000,1.0,1000
311,0.685,0.57,0.665,0.615,1.0,31000,1.0,121000
312,0.685,0.655,0.665,0.67,1.0,31000,1.0,31000
313,0.685,0.665,0.675,0.63,1.0,31000,1.0,61000
314,0.685,0.63,0.67,0.675,1.0,31000,1.0,91000
315,0.685,0.64,0.635,0.535,1.0,31000,2.8,1000
316,0.685,0.57,0.665,0.61,1.0,31000,2.8,121000
317,0.685,0.635,0.685,0.68,1.0,31000,2.8,31000
318,0.685,0.635,0.675,0.635,1.0,31000,2.8,61000
319,0.685,0.635,0.685,0.53,1.0,31000,2.8,91000
320,0.685,0.565,0.65,0.59,1.0,31000,0.41,1000
321,0.685,0.58,0.665,0.605,1.0,31000,0.41,121000
322,0.685,0.66,0.675,0.67,1.0,31000,0.41,31000
323,0.685,0.735,0.685,0.67,1.0,31000,0.41,61000
324,0.685,0.715,0.685,0.635,1.0,31000,0.41,91000
325,0.655,0.635,0.625,0.56,1.0,61000,1.4,1000
326,0.655,0.635,0.635,0.625,1.0,61000,1.4,121000
327,0.655,0.605,0.645,0.615,1.0,61000,1.4,31000
328,0.655,0.635,0.65,0.61,1.0,61000,1.4,61000
329,0.655,0.57,0.635,0.625,1.0,61000,1.4,91000
330,0.655,0.65,0.64,0.585,1.0,61000,0.16,1000
331,0.655,0.635,0.635,0.635,1.0,61000,0.16,121000
332,0.655,0.675,0.645,0.64,1.0,61000,0.16,31000
333,0.655,0.63,0.635,0.62,1.0,61000,0.16,61000
334,0.655,0.63,0.63,0.6,1.0,61000,0.16,91000
335,0.655,0.64,0.635,0.54,1.0,61000,1.0,1000
336,0.655,0.57,0.635,0.625,1.0,61000,1.0,121000
337,0.655,0.655,0.64,0.62,1.0,61000,1.0,31000
338,0.655,0.665,0.665,0.635,1.0,61000,1.0,61000
339,0.655,0.63,0.645,0.6,1.0,61000,1.0,91000
340,0.655,0.64,0.6,0.605,1.0,61000,2.8,1000
341,0.655,0.57,0.63,0.635,1.0,61000,2.8,121000
342,0.655,0.635,0.645,0.59,1.0,61000,2.8,31000
343,0.655,0.635,0.63,0.63,1.0,61000,2.8,61000
344,0.655,0.635,0.645,0.65,1.0,61000,2.8,91000
345,0.655,0.565,0.62,0.52,1.0,61000,0.41,1000
346,0.655,0.58,0.635,0.635,1.0,61000,0.41,121000
347,0.655,0.66,0.62,0.62,1.0,61000,0.41,31000
348,0.655,0.735,0.63,0.61,1.0,61000,0.41,61000
349,0.655,0.715,0.63,0.6,1.0,61000,0.41,91000
350,0.645,0.635,0.615,0.56,1.0,91000,1.4,1000
351,0.645,0.635,0.62,0.63,1.0,91000,1.4,121000
352,0.645,0.605,0.67,0.63,1.0,91000,1.4,31000
353,0.645,0.635,0.645,0.65,1.0,91000,1.4,61000
354,0.645,0.57,0.665,0.625,1.0,91000,1.4,91000
355,0.645,0.65,0.635,0.62,1.0,91000,0.16,1000
356,0.645,0.635,0.665,0.615,1.0,91000,0.16,121000
357,0.645,0.675,0.655,0.66,1.0,91000,0.16,31000
358,0.645,0.63,0.645,0.625,1.0,91000,0.16,61000
359,0.645,0.63,0.655,0.645,1.0,91000,0.16,91000
360,0.645,0.64,0.64,0.6,1.0,91000,1.0,1000
361,0.645,0.57,0.66,0.665,1.0,91000,1.0,121000
362,0.645,0.655,0.675,0.615,1.0,91000,1.0,31000
363,0.645,0.665,0.65,0.645,1.0,91000,1.0,61000
364,0.645,0.63,0.66,0.635,1.0,91000,1.0,91000
365,0.645,0.64,0.6,0.55,1.0,91000,2.8,1000
366,0.645,0.57,0.645,0.64,1.0,91000,2.8,121000
367,0.645,0.635,0.665,0.65,1.0,91000,2.8,31000
368,0.645,0.635,0.65,0.63,1.0,91000,2.8,61000
369,0.645,0.635,0.65,0.605,1.0,91000,2.8,91000
370,0.645,0.565,0.65,0.595,1.0,91000,0.41,1000
371,0.645,0.58,0.64,0.62,1.0,91000,0.41,121000
372,0.645,0.66,0.645,0.59,1.0,91000,0.41,31000
373,0.645,0.735,0.635,0.6,1.0,91000,0.41,61000
374,0.645,0.715,0.66,0.64,1.0,91000,0.41,91000
375,0.635,0.635,0.635,0.5,2.8,1000,1.4,1000
376,0.635,0.635,0.635,0.48,2.8,1000,1.4,121000
377,0.635,0.605,0.635,0.575,2.8,1000,1.4,31000
378,0.635,0.635,0.635,0.535,2.8,1000,1.4,61000
379,0.635,0.57,0.635,0.52,2.8,1000,1.4,91000
380,0.635,0.65,0.635,0.545,2.8,1000,0.16,1000
381,0.635,0.635,0.635,0.45,2.8,1000,0.16,121000
382,0.635,0.675,0.635,0.51,2.8,1000,0.16,31000
383,0.635,0.63,0.635,0.505,2.8,1000,0.16,91000
384,0.635,0.64,0.635,0.45,2.8,1000,1.0,1000
385,0.635,0.57,0.635,0.48,2.8,1000,1.0,121000
386,0.635,0.655,0.635,0.52,2.8,1000,1.0,31000
387,0.635,0.665,0.635,0.465,2.8,1000,1.0,61000
388,0.635,0.63,0.635,0.575,2.8,1000,1.0,91000
389,0.635,0.64,0.635,0.565,2.8,1000,2.8,1000
390,0.635,0.57,0.635,0.515,2.8,1000,2.8,121000
391,0.635,0.635,0.635,0.455,2.8,1000,2.8,31000
392,0.635,0.635,0.635,0.485,2.8,1000,2.8,61000
393,0.635,0.635,0.635,0.54,2.8,1000,2.8,91000
394,0.635,0.565,0.635,0.515,2.8,1000,0.41,1000
395,0.635,0.58,0.635,0.45,2.8,1000,0.41,121000
396,0.635,0.66,0.635,0.6,2.8,1000,0.41,31000
397,0.635,0.735,0.635,0.58,2.8,1000,0.41,61000
398,0.635,0.715,0.635,0.59,2.8,1000,0.41,91000
399,0.645,0.635,0.645,0.54,2.8,121000,1.4,1000
400,0.645,0.635,0.645,0.6,2.8,121000,1.4,121000
401,0.645,0.605,0.645,0.59,2.8,121000,1.4,31000
402,0.645,0.635,0.64,0.58,2.8,121000,1.4,61000
403,0.645,0.57,0.645,0.55,2.8,121000,1.4,91000
404,0.645,0.65,0.65,0.62,2.8,121000,0.16,1000
405,0.645,0.635,0.645,0.6,2.8,121000,0.16,121000
406,0.645,0.675,0.64,0.595,2.8,121000,0.16,31000
407,0.645,0.63,0.645,0.59,2.8,121000,0.16,61000
408,0.645,0.63,0.645,0.605,2.8,121000,0.16,91000
409,0.645,0.64,0.64,0.55,2.8,121000,1.0,1000
410,0.645,0.57,0.645,0.535,2.8,121000,1.0,121000
411,0.645,0.655,0.645,0.605,2.8,121000,1.0,31000
412,0.645,0.665,0.64,0.6,2.8,121000,1.0,61000
413,0.645,0.63,0.64,0.615,2.8,121000,1.0,91000
414,0.645,0.64,0.65,0.535,2.8,121000,2.8,1000
415,0.645,0.57,0.645,0.555,2.8,121000,2.8,121000
416,0.645,0.635,0.65,0.59,2.8,121000,2.8,31000
417,0.645,0.635,0.65,0.605,2.8,121000,2.8,61000
418,0.645,0.635,0.645,0.565,2.8,121000,2.8,91000
419,0.645,0.565,0.645,0.575,2.8,121000,0.41,1000
420,0.645,0.58,0.65,0.565,2.8,121000,0.41,121000
421,0.645,0.66,0.645,0.605,2.8,121000,0.41,31000
422,0.645,0.735,0.645,0.57,2.8,121000,0.41,61000
423,0.645,0.715,0.645,0.565,2.8,121000,0.41,91000
424,0.635,0.635,0.635,0.515,2.8,31000,1.4,1000
425,0.635,0.635,0.635,0.56,2.8,31000,1.4,121000
426,0.635,0.605,0.635,0.575,2.8,31000,1.4,31000
427,0.635,0.635,0.635,0.51,2.8,31000,1.4,61000
428,0.635,0.57,0.635,0.595,2.8,31000,1.4,91000
429,0.635,0.65,0.635,0.55,2.8,31000,0.16,1000
